Rating,Reviews,Size,Installs,Price,Title_Length,Is_Pro_App,Days_Since_Update,Reviews_Log,Installs_Log,Category_Encoded,Interaction_Rate,Primary_Genre_Encoded,Genres,Category,Type,Content Rating,Last Updated,Primary_Genre
4.4,13880,28000000.0,1000000,0.0,23,0,285,9.53827627757511,13.815511557963774,4.350388804021091,0.01387998612001388,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2017-10-27,Art & Design
4.4,8788,12000000.0,1000000,0.0,39,0,8,9.081256218564645,13.815511557963774,4.350388804021091,0.008787991212008787,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-31,Art & Design
4.2,44829,20000000.0,10000000,0.0,30,0,128,10.710632837149484,16.118095750958314,4.350388804021091,0.004482899551710045,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Teen,2018-04-02,Art & Design
4.6,4326,21000000.0,100000,0.0,21,0,43,8.372629740224884,11.51293546492023,4.350388804021091,0.04325956740432595,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-06-26,Art & Design
4.4,1518,37000000.0,100000,0.0,47,0,5,7.325807502595773,11.51293546492023,4.350388804021091,0.015179848201517986,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-08-03,Art & Design
3.2,55,2700000.0,5000,0.0,31,0,63,4.02535169073515,8.517393171418904,4.350388804021091,0.010997800439912017,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-06-06,Art & Design
4.7,3632,5500000.0,500000,0.0,44,0,8,8.197814032221203,13.122365377402328,4.350388804021091,0.007263985472029056,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-31,Art & Design
4.5,27,17000000.0,10000,0.0,24,0,274,3.332204510175204,9.210440366976517,4.350388804021091,0.0026997300269973002,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2017-11-07,Art & Design
4.3,194216,39000000.0,5000000,0.0,29,0,5,12.17673136962806,15.424948670398354,4.350388804021091,0.038843192231361554,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-08-03,Art & Design
4.6,224399,31000000.0,10000000,0.0,12,0,9,12.321185452630678,16.118095750958314,4.350388804021091,0.022439897756010223,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-30,Art & Design
4.0,450,14000000.0,100000,0.0,27,0,110,6.111467339502679,11.51293546492023,4.350388804021091,0.004499955000449996,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-04-20,Art & Design
4.1,654,12000000.0,100000,0.0,41,0,141,6.484635235635252,11.51293546492023,4.350388804021091,0.006539934600653993,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-03-20,Art & Design
4.7,7699,4200000.0,500000,0.0,39,0,27,8.948975607841776,13.122365377402328,4.350388804021091,0.015397969204061591,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone 10+,2018-07-12,Art & Design
4.191757420456972,61,7000000.0,100000,0.0,22,0,154,4.127134385045092,11.51293546492023,4.350388804021091,0.0006099939000609993,4.340101879446781,Art & Design;Action & Adventure,ART_AND_DESIGN,Free,Everyone,2018-03-07,Art & Design
4.7,118,23000000.0,50000,0.0,27,0,32,4.77912349311153,10.819798284210286,4.350388804021091,0.002359952800943981,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-07,Art & Design
4.8,192,6000000.0,10000,0.0,26,0,105,5.262690188904886,9.210440366976517,4.350388804021091,0.019198080191980802,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-04-25,Art & Design
4.7,20260,25000000.0,500000,0.0,29,0,301,9.91645313492615,13.122365377402328,4.350388804021091,0.04051991896016208,4.340101879446781,Art & Design;Creativity,ART_AND_DESIGN,Free,Everyone,2017-10-11,Art & Design
4.1,203,6100000.0,100000,0.0,21,0,140,5.318119993844216,11.51293546492023,4.350388804021091,0.002029979700202998,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-03-21,Art & Design
3.9,136,4600000.0,10000,0.0,21,0,27,4.919980925828125,9.210440366976517,4.350388804021091,0.013598640135986401,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-12,Art & Design
4.1,223,4200000.0,100000,0.0,31,0,351,5.4116460518550396,11.51293546492023,4.350388804021091,0.002229977700222998,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2017-08-22,Art & Design
4.2,1120,9200000.0,100000,0.0,30,0,27,7.02197642307216,11.51293546492023,4.350388804021091,0.01119988800111999,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-12,Art & Design
4.1,227,5200000.0,50000,0.0,17,0,69,5.429345628954441,10.819798284210286,4.350388804021091,0.004539909201815964,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-05-31,Art & Design
4.5,5035,11000000.0,100000,0.0,25,0,20,8.524367395164237,11.51293546492023,4.350388804021091,0.05034949650503495,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-19,Art & Design
4.2,1015,11000000.0,100000,0.0,18,0,214,6.923628628138427,11.51293546492023,4.350388804021091,0.010149898501014989,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-01-06,Art & Design
4.7,353,4200000.0,10000,0.0,15,0,103,5.869296913133774,9.210440366976517,4.350388804021091,0.0352964703529647,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Teen,2018-04-27,Art & Design
3.8,564,9200000.0,100000,0.0,32,0,28,6.336825731146441,11.51293546492023,4.350388804021091,0.005639943600563994,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-11,Art & Design
4.7,8145,24000000.0,500000,0.0,46,0,6,9.005282288208358,13.122365377402328,4.350388804021091,0.01628996742006516,4.340101879446781,Art & Design;Creativity,ART_AND_DESIGN,Free,Everyone,2018-08-02,Art & Design
4.1,36639,8950000.0,5000000,0.0,18,0,25,10.508895818788067,15.424948670398354,4.350388804021091,0.007327798534440293,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-14,Art & Design
4.7,158,11000000.0,10000,0.0,30,0,252,5.0689042022202315,9.210440366976517,4.350388804021091,0.015798420157984203,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2017-11-29,Art & Design
4.0,591,9400000.0,500000,0.0,45,0,130,6.3835066348840055,13.122365377402328,4.350388804021091,0.001181997636004728,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-03-31,Art & Design
4.2,117,15000000.0,10000,0.0,29,0,19,4.770684624465665,9.210440366976517,4.350388804021091,0.011698830116988301,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-20,Art & Design
4.5,176,10000000.0,100000,0.0,28,0,128,5.176149732573829,11.51293546492023,4.350388804021091,0.0017599824001759982,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-04-02,Art & Design
4.4,295221,8950000.0,10000000,0.0,26,0,9,12.595482894676806,16.118095750958314,4.350388804021091,0.029522097047790297,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-30,Art & Design
3.8,2206,1200000.0,100000,0.0,13,0,115,7.699389406256737,11.51293546492023,4.350388804021091,0.02205977940220598,4.340101879446781,Art & Design;Creativity,ART_AND_DESIGN,Free,Everyone,2018-04-15,Art & Design
4.2,26,12000000.0,10000,0.0,43,0,217,3.295836866004329,9.210440366976517,4.350388804021091,0.0025997400259974,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-01-03,Art & Design
4.7,174531,24000000.0,10000000,0.0,50,0,8,12.069863384901188,16.118095750958314,4.350388804021091,0.017453098254690175,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-07-31,Art & Design
4.6,1070,26000000.0,100000,0.0,58,0,267,6.976348070447749,11.51293546492023,4.350388804021091,0.01069989300106999,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2017-11-14,Art & Design
4.2,85,8000000.0,100000,0.0,37,0,234,4.454347296253507,11.51293546492023,4.350388804021091,0.0008499915000849992,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2017-12-17,Art & Design
4.3,845,7900000.0,100000,0.0,16,0,72,6.740519359606223,11.51293546492023,4.350388804021091,0.008449915500844991,4.340101879446781,Art & Design,ART_AND_DESIGN,Free,Everyone,2018-05-28,Art & Design
4.2,367,25000000.0,100000,0.0,27,0,90,5.908082938168931,11.51293546492023,4.190601047593925,0.0036699633003669965,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-05-10,Auto & Vehicles
4.0,1598,56000000.0,1000000,0.0,20,0,13,7.377133712833954,13.815511557963774,4.190601047593925,0.001597998402001598,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-26,Auto & Vehicles
3.8,284,57000000.0,100000,0.0,31,1,13,5.652489180268651,11.51293546492023,4.190601047593925,0.002839971600283997,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-26,Auto & Vehicles
4.6,17057,16000000.0,1000000,0.0,29,0,9,9.744374580879056,13.815511557963774,4.190601047593925,0.01705698294301706,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-30,Auto & Vehicles
3.9,129,35000000.0,100000,0.0,24,0,13,4.867534450455582,11.51293546492023,4.190601047593925,0.0012899871001289987,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-26,Auto & Vehicles
4.3,542,33000000.0,100000,0.0,46,0,8,6.297109319933935,11.51293546492023,4.190601047593925,0.0054199458005419945,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-31,Auto & Vehicles
4.9,10479,33000000.0,100000,0.0,81,0,21,9.257223957875032,11.51293546492023,4.190601047593925,0.1047889521104789,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-18,Auto & Vehicles
4.4,805,5600000.0,50000,0.0,25,0,10,6.692083742506628,10.819798284210286,4.190601047593925,0.016099678006439872,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-29,Auto & Vehicles
4.2,129,54000000.0,100000,0.0,26,0,13,4.867534450455582,11.51293546492023,4.190601047593925,0.0012899871001289987,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-26,Auto & Vehicles
4.0,1403,201000.0,100000,0.0,17,0,1443,7.247080584585756,11.51293546492023,4.190601047593925,0.014029859701402986,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2014-08-26,Auto & Vehicles
3.9,3971,3600000.0,100000,0.0,66,0,9,8.287025025165063,11.51293546492023,4.190601047593925,0.03970960290397096,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-30,Auto & Vehicles
4.6,534,5700000.0,10000,0.0,12,0,31,6.282266746896006,9.210440366976517,4.190601047593925,0.053394660533946606,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-08,Auto & Vehicles
4.9,7774,17000000.0,100000,0.0,30,0,36,8.958668737047434,11.51293546492023,4.190601047593925,0.07773922260777393,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-03,Auto & Vehicles
4.3,38846,8600000.0,1000000,0.0,59,0,11,10.56738613273695,13.815511557963774,4.190601047593925,0.03884596115403885,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-28,Auto & Vehicles
4.6,2431,2400000.0,100000,0.0,29,0,57,7.796469243086058,11.51293546492023,4.190601047593925,0.024309756902430976,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-06-12,Auto & Vehicles
4.9,6090,27000000.0,100000,0.0,37,0,36,8.714567550836485,11.51293546492023,4.190601047593925,0.06089939100608994,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-03,Auto & Vehicles
3.9,295,2700000.0,10000,0.0,17,0,9,5.69035945432406,9.210440366976517,4.190601047593925,0.029497050294970503,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-30,Auto & Vehicles
4.0,190,2500000.0,50000,0.0,16,0,663,5.25227342804663,10.819798284210286,4.190601047593925,0.0037999240015199696,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2016-10-14,Auto & Vehicles
4.3,40211,16000000.0,5000000,0.0,18,0,9,10.60192073752531,15.424948670398354,4.190601047593925,0.008042198391560321,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-30,Auto & Vehicles
3.9,356,16000000.0,100000,0.0,6,0,75,5.877735781779639,11.51293546492023,4.190601047593925,0.0035599644003559963,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-05-25,Auto & Vehicles
4.2,52530,7000000.0,5000000,0.0,27,0,23,10.86915875050772,15.424948670398354,4.190601047593925,0.01050599789880042,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-16,Auto & Vehicles
4.8,116986,35000000.0,5000000,0.0,89,0,6,11.669818096495485,15.424948670398354,4.190601047593925,0.023397195320560935,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-08-02,Auto & Vehicles
3.6,1379,16000000.0,500000,0.0,39,0,6,7.22983877815125,13.122365377402328,4.190601047593925,0.002757994484011032,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-08-02,Auto & Vehicles
4.2,271920,16000000.0,10000000,0.0,45,0,28,12.513266861915456,16.118095750958314,4.190601047593925,0.02719199728080027,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Teen,2018-07-11,Auto & Vehicles
4.8,736,16000000.0,100000,0.0,6,0,10,6.602587892189336,11.51293546492023,4.190601047593925,0.007359926400735992,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-29,Auto & Vehicles
4.8,7021,17000000.0,500000,0.0,26,0,12,8.856803356728378,13.122365377402328,4.190601047593925,0.014041971916056169,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-27,Auto & Vehicles
4.6,197,3400000.0,50000,0.0,37,0,55,5.288267030694535,10.819798284210286,4.190601047593925,0.0039399212015759685,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-06-14,Auto & Vehicles
4.5,737,8900000.0,100000,0.0,33,0,61,6.6039438246004725,11.51293546492023,4.190601047593925,0.007369926300736992,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-06-08,Auto & Vehicles
4.3,3574,3900000.0,1000000,0.0,36,0,35,8.181720455128108,13.815511557963774,4.190601047593925,0.003573996426003574,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone 10+,2018-07-04,Auto & Vehicles
4.5,994,2900000.0,100000,0.0,19,0,134,6.902742737158593,11.51293546492023,4.190601047593925,0.00993990060099399,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-03-27,Auto & Vehicles
4.9,197136,38000000.0,1000000,0.0,23,0,24,12.191654197491792,13.815511557963774,4.190601047593925,0.19713580286419713,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-15,Auto & Vehicles
3.9,142,32000000.0,50000,0.0,21,0,15,4.962844630259907,10.819798284210286,4.190601047593925,0.0028399432011359774,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-24,Auto & Vehicles
4.4,15168,37000000.0,1000000,0.0,26,0,12,9.627009150591672,13.815511557963774,4.190601047593925,0.015167984832015168,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-27,Auto & Vehicles
4.0,2155,15000000.0,500000,0.0,19,0,9,7.6760099320288875,13.122365377402328,4.190601047593925,0.00430999138001724,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-30,Auto & Vehicles
4.3,138,5400000.0,100000,0.0,45,0,16,4.9344739331306915,11.51293546492023,4.190601047593925,0.0013799862001379986,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-23,Auto & Vehicles
3.7,5414,18000000.0,1000000,0.0,43,0,16,8.596928159435091,13.815511557963774,4.190601047593925,0.0054139945860054136,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-23,Auto & Vehicles
4.4,21777,16000000.0,1000000,0.0,49,0,4,9.988655564906006,13.815511557963774,4.190601047593925,0.021776978223021777,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-08-04,Auto & Vehicles
4.3,348,38000000.0,100000,0.0,15,0,10,5.855071922202427,11.51293546492023,4.190601047593925,0.0034799652003479967,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-29,Auto & Vehicles
3.2,250,1100000.0,100000,0.0,29,0,103,5.5254529391317835,11.51293546492023,4.190601047593925,0.0024999750002499977,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-04-27,Auto & Vehicles
4.6,13372,16000000.0,1000000,0.0,43,0,5,9.500993027872797,13.815511557963774,4.190601047593925,0.013371986628013373,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-08-03,Auto & Vehicles
4.6,7880,16000000.0,100000,0.0,51,0,90,8.97221007835365,11.51293546492023,4.190601047593925,0.07879921200787993,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-05-10,Auto & Vehicles
4.5,3617,7900000.0,100000,0.0,8,0,84,8.193676665955241,11.51293546492023,4.190601047593925,0.03616963830361696,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-05-16,Auto & Vehicles
3.7,4806,35000000.0,1000000,0.0,7,0,8,8.47782846789396,13.815511557963774,4.190601047593925,0.004805995194004806,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-31,Auto & Vehicles
4.6,65786,16000000.0,1000000,0.0,23,0,6,11.094177529405146,13.815511557963774,4.190601047593925,0.06578593421406578,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-08-02,Auto & Vehicles
4.6,31433,17000000.0,1000000,0.0,10,0,6,10.355645388636274,13.815511557963774,4.190601047593925,0.031432968567031434,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-08-02,Auto & Vehicles
4.6,5097,19000000.0,1000000,0.0,88,0,16,8.53660358493606,13.815511557963774,4.190601047593925,0.005096994903005097,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-07-23,Auto & Vehicles
4.0,1754,14000000.0,500000,0.0,108,0,67,7.470224135899966,13.122365377402328,4.190601047593925,0.003507992984014032,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-06-02,Auto & Vehicles
4.4,2680,2200000.0,500000,0.0,36,0,141,7.893945138235959,13.122365377402328,4.190601047593925,0.00535998928002144,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-03-20,Auto & Vehicles
4.0,1288,4500000.0,100000,0.0,11,0,109,7.161622002939187,11.51293546492023,4.190601047593925,0.012879871201287987,4.190601047593925,Auto & Vehicles,AUTO_AND_VEHICLES,Free,Everyone,2018-04-21,Auto & Vehicles
4.7,18900,17000000.0,500000,0.0,26,0,6,9.846970109700957,13.122365377402328,4.260553426887296,0.0377999244001512,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-08-02,Beauty
4.9,49790,14000000.0,1000000,0.0,30,0,272,10.815589523788828,13.815511557963774,4.260553426887296,0.04978995021004979,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2017-11-09,Beauty
4.7,1150,9800000.0,100000,0.0,31,0,85,7.048386408721883,11.51293546492023,4.260553426887296,0.011499885001149988,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-05-15,Beauty
3.9,1739,21000000.0,500000,0.0,50,0,27,7.461640392208575,13.122365377402328,4.260553426887296,0.003477993044013912,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-07-12,Beauty
3.9,32090,9200000.0,1000000,0.0,26,0,653,10.37633089597424,13.815511557963774,4.260553426887296,0.03208996791003209,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2016-10-24,Beauty
4.2,2225,52000000.0,500000,0.0,20,0,161,7.70796153183549,13.122365377402328,4.260553426887296,0.0044499911000178,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-02-28,Beauty
4.6,4369,14000000.0,100000,0.0,23,0,14,8.382518288089635,11.51293546492023,4.260553426887296,0.04368956310436896,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-07-25,Beauty
4.3,8572,25000000.0,1000000,0.0,18,0,90,9.056373008678756,13.815511557963774,4.260553426887296,0.008571991428008572,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-05-10,Beauty
4.7,964,9000000.0,50000,0.0,21,0,48,6.872128101338986,10.819798284210286,4.260553426887296,0.019279614407711847,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-06-21,Beauty
4.7,42050,9200000.0,1000000,0.0,11,0,64,10.646638446331167,13.815511557963774,4.260553426887296,0.04204995795004205,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-06-05,Beauty
4.8,104,12000000.0,10000,0.0,20,1,43,4.653960350157523,9.210440366976517,4.260553426887296,0.0103989601039896,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-06-26,Beauty
4.2,17934,9200000.0,1000000,0.0,13,0,330,9.794509389966382,13.815511557963774,4.260553426887296,0.017933982066017935,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2017-09-12,Beauty
4.3,601,35000000.0,100000,0.0,26,0,67,6.400257445308821,11.51293546492023,4.260553426887296,0.006009939900600994,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-06-02,Beauty
4.5,36,6700000.0,10000,0.0,23,0,13,3.6109179126442243,9.210440366976517,4.260553426887296,0.0035996400359964,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-07-26,Beauty
4.1,187,30000000.0,50000,0.0,45,0,15,5.236441962829949,10.819798284210286,4.260553426887296,0.00373992520149597,4.260553426887296,Beauty,BEAUTY,Free,Teen,2018-07-24,Beauty
4.191757420456972,182,5700000.0,100000,0.0,25,0,322,5.209486152841421,11.51293546492023,4.260553426887296,0.0018199818001819982,4.260553426887296,Beauty,BEAUTY,Free,Everyone 10+,2017-09-20,Beauty
4.2,30,2900000.0,10000,0.0,23,0,121,3.4339872044851463,9.210440366976517,4.260553426887296,0.0029997000299970002,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-04-09,Beauty
4.5,134,17000000.0,10000,0.0,17,0,160,4.90527477843843,9.210440366976517,4.260553426887296,0.013398660133986601,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-03-01,Beauty
4.4,74,2900000.0,10000,0.0,33,0,125,4.31748811353631,9.210440366976517,4.260553426887296,0.007399260073992601,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-04-05,Beauty
4.0,113715,9200000.0,10000000,0.0,29,0,370,11.64145939103446,16.118095750958314,4.260553426887296,0.011371498862850113,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2017-08-03,Beauty
4.1,3595,9200000.0,500000,0.0,16,0,76,8.18757739559151,13.122365377402328,4.260553426887296,0.0071899856200287595,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-05-24,Beauty
4.1,9315,2600000.0,1000000,0.0,38,0,260,9.139488631004232,13.815511557963774,4.260553426887296,0.009314990685009315,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2017-11-21,Beauty
4.4,75,4200000.0,50000,0.0,36,0,294,4.330733340286331,10.819798284210286,4.260553426887296,0.001499970000599988,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2017-10-18,Beauty
4.6,38,7100000.0,10000,0.0,32,0,71,3.6635616461296463,9.210440366976517,4.260553426887296,0.0037996200379962005,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-05-29,Beauty
4.5,26834,57000000.0,1000000,0.0,50,0,15,10.197462284610928,13.815511557963774,4.260553426887296,0.026833973166026835,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-07-24,Beauty
4.191757420456972,119,3700000.0,50000,0.0,22,0,16,4.787491742782046,10.819798284210286,4.260553426887296,0.002379952400951981,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-07-23,Beauty
3.9,2277,22000000.0,500000,0.0,46,0,27,7.731053144007127,13.122365377402328,4.260553426887296,0.004553990892018216,4.260553426887296,Beauty,BEAUTY,Free,Everyone,2018-07-12,Beauty
